,Id,articles_counts,day,lesbarkeit,month,polarity,subjectivity,thread_counts,word_counts,year
0,b_article_10p0.txt,1,21,42.38,11,0.35,0.5,0,37,2019
1,b_article_10p1.txt,1,21,36.39,11,0.20999999999999996,0.0,0,197,2019
2,b_article_10p2.txt,1,21,50.16,11,0.1712962962962963,0.014814814814814815,0,496,2019
3,b_article_10p3.txt,1,21,45.09,11,0.13,0.0,0,207,2019
4,b_article_10p4.txt,1,20,39.06,11,-0.35,0.018518518518518517,0,391,2019
5,b_article_10p5.txt,1,20,5.3,11,-0.046190476190476185,0.12380952380952381,0,325,2019
6,b_article_10p6.txt,1,19,42.24,11,0.020175438596491225,0.21052631578947367,0,540,2019
7,b_article_10p7.txt,1,17,72.16,11,0.1696551724137931,0.19999999999999998,0,915,2019
8,b_article_10p8.txt,1,17,37.84,11,0.18000000000000002,0.03333333333333333,0,394,2019
9,b_article_10p9.txt,1,16,70.23,11,0.125,0.2,0,197,2019
10,b_article_1p0.txt,1,19,44.44,12,0.017948717948717947,0.04871794871794872,0,280,2019
11,b_article_1p1.txt,1,19,48.03,12,0.05416666666666666,0.08012820512820513,0,568,2019
12,b_article_1p2.txt,1,19,71.04,12,0.13763888888888892,0.05555555555555555,0,818,2019
13,b_article_1p3.txt,1,19,62.68,12,-0.35,0.0,0,33,2019
14,b_article_1p4.txt,1,18,26.48,12,0.0,1.0,0,59,2019
15,b_article_1p5.txt,1,17,52.8,12,0.26249999999999996,0.125,0,92,2019
16,b_article_1p6.txt,1,16,-6.01,12,0.11666666666666665,0.16666666666666666,0,91,2019
17,b_article_1p7.txt,1,16,46.34,12,0.035964912280701755,0.07368421052631578,0,513,2019
18,b_article_1p8.txt,1,16,43.87,12,0.07777777777777778,0.1111111111111111,0,300,2019
19,b_article_1p9.txt,1,16,31.75,12,0.04230769230769231,0.07692307692307693,0,302,2019
20,b_article_2p0.txt,1,16,54.97,12,0.0742307692307692,0.02307692307692308,0,485,2019
21,b_article_2p1.txt,1,16,48.47,12,-0.04033613445378151,0.08235294117647059,0,370,2019
22,b_article_2p2.txt,1,15,35.99,12,-0.3333333333333333,0.0,0,128,2019
23,b_article_2p3.txt,1,15,57.4,12,0.0,0.0,0,110,2019
24,b_article_2p4.txt,1,15,42.55,12,0.0,0.0,0,57,2019
25,b_article_2p5.txt,1,15,54.56,12,0.2392028985507246,0.05072463768115942,0,517,2019
26,b_article_2p6.txt,1,15,54.22,12,-0.5,0.0,0,34,2019
27,b_article_2p7.txt,1,15,36.12,12,0.4625,0.125,0,204,2019
28,b_article_2p8.txt,1,15,43.09,12,-0.12105263157894736,0.05263157894736842,0,613,2019
29,b_article_2p9.txt,1,15,48.03,12,0.09523809523809522,0.0873015873015873,0,411,2019
30,b_article_3p0.txt,1,14,57.71,12,0.14259259259259258,0.3888888888888889,0,196,2019
31,b_article_3p1.txt,1,14,43.9,12,0.029166666666666664,0.2916666666666667,0,385,2019
32,b_article_3p2.txt,1,13,44.82,12,0.11527777777777776,0.1111111111111111,0,340,2019
33,b_article_3p3.txt,1,13,50.84,12,1.0,0.0,0,37,2019
34,b_article_3p4.txt,1,13,51.28,12,0.29551282051282046,0.12179487179487179,0,473,2019
35,b_article_3p5.txt,1,13,38.66,12,-0.08214285714285714,0.06785714285714285,0,141,2019
36,b_article_3p6.txt,1,13,30.77,12,0.2879166666666667,0.034999999999999996,0,797,2019
37,b_article_3p7.txt,1,12,46.2,12,0.22708333333333333,0.013888888888888888,0,483,2019
38,b_article_3p8.txt,1,12,22.72,12,0.10151515151515152,0.13636363636363635,0,392,2019
39,b_article_3p9.txt,1,12,36.32,12,0.175,0.0,0,79,2019
40,b_article_4p0.txt,1,12,42.08,11,-0.15416666666666667,0.08333333333333333,0,221,2019
41,b_article_4p1.txt,1,12,51.58,11,0.3425925925925926,0.0,0,154,2019
42,b_article_4p2.txt,1,12,35.24,11,0.07539682539682538,0.10714285714285714,0,747,2019
43,b_article_4p3.txt,1,12,67.04,11,0.03823529411764707,0.058823529411764705,0,223,2019
44,b_article_4p4.txt,1,12,42.65,11,0.17353658536585362,0.03902439024390244,0,1037,2019
45,b_article_4p5.txt,1,12,37.07,11,0.07222222222222222,0.3333333333333333,0,468,2019
46,b_article_4p6.txt,1,12,51.31,11,0.1408333333333333,0.041666666666666664,0,499,2019
47,b_article_4p7.txt,1,12,46.78,11,-0.35,0.5,0,80,2019
48,b_article_4p8.txt,1,12,30.88,11,-0.27,0.1,0,199,2019
49,b_article_4p9.txt,1,12,18.7,11,0.7,0.0,0,52,2019
50,b_article_5p0.txt,1,12,25.7,10,-0.17916666666666667,0.0,0,494,2019
51,b_article_5p1.txt,1,12,44.75,10,0.2,0.0,0,88,2019
52,b_article_5p2.txt,1,12,27.12,9,0.016666666666666663,0.22222222222222224,0,426,2019
53,b_article_5p3.txt,1,12,36.02,9,0.0,0.0,0,133,2019
54,b_article_5p4.txt,1,12,34.6,8,0.17121212121212118,0.19393939393939394,0,355,2019
55,b_article_5p5.txt,1,12,24.11,8,0.38125,0.1875,0,118,2019
56,b_article_5p6.txt,1,12,51.58,6,0.0,0.2857142857142857,0,157,2019
57,b_article_5p7.txt,1,12,28.03,6,-0.1111111111111111,0.2222222222222222,0,253,2019
58,b_article_5p8.txt,1,12,10.13,6,0.05714285714285715,0.23333333333333334,0,364,2019
59,b_article_5p9.txt,1,12,27.49,6,-1.0,0.0,0,33,2019
60,b_article_6p0.txt,1,12,37.98,6,-0.5,0.08333333333333333,0,130,2019
61,b_article_6p1.txt,1,12,58.32,5,0.21666666666666667,0.3333333333333333,0,147,2019
62,b_article_6p2.txt,1,12,68.47,5,-0.14285714285714285,0.42857142857142855,0,77,2019
63,b_article_6p3.txt,1,12,41.43,4,-0.07142857142857142,0.15476190476190474,0,326,2019
64,b_article_6p4.txt,1,12,36.63,4,0.35,0.5,0,50,2019
65,b_article_6p5.txt,1,12,20.08,3,-0.17407407407407408,0.0,0,167,2019
66,b_article_6p6.txt,1,12,49.28,3,-0.05800000000000001,0.102,0,651,2019
67,b_article_6p7.txt,1,12,68.81,3,-0.11666666666666665,0.16666666666666666,0,57,2019
68,b_article_6p8.txt,1,12,24.41,3,0.2333333333333333,0.0,0,89,2019
